"name","typeString","addressLineOne","addressLineTwo","city","state","zipFive","zipFour","county","isPoBoxLocation","phone","drivingDirectionsLink","grantNumber","delegateNumber","programName","programAddressLineOne","programAddressLineTwo","programCity","programState","programZipFive","programZipFour","programCounty","programPhone","programRegistrationPhone","latitude","longitude"
"Manteno","Head Start","555 W Cook St","","Manteno","IL","60950","3720","Kankakee County",false,"(815) 928-7200","https://maps.google.com?saddr=40.633,-89.399&daddr=41.2454,-87.8436","05CH011795","000","Kankakee School District 111 Head Start","240 Warren Ave","","Kankakee","IL","60901","4319","Kankakee County","(815) 928-7200","(815)802-4952",41.2454,-87.8436
"Hoopeston Head Start","Head Start","502 E Main St","","Hoopeston","IL","60942","1522","Vermilion County",false,"(217) 474-0459","https://maps.google.com?saddr=40.633,-89.399&daddr=40.4676,-87.665","90CH011821","000","CDI HS/ Vermilion, Iroquois and Ford County, IL","10065 E Harvard Ave","Ste 700","Denver","CO","80231","5915","Denver County","(217) 474-0459","(217) 474-0459",40.4676,-87.665
"Felman Early Childhood Center","Head Start and Early Head Start","200 S Desplaines St","","Joliet","IL","60436","2210","Will County",false,"(815) 727-5730","https://maps.google.com?saddr=40.633,-89.399&daddr=41.5201,-88.0856","05CH011316","200","Catholic Charities of the Diocese of Joliet, Inc.","203 North Ottawa Street, 3rd Floor","","Joliet","IL","60432","4006","Will County","(815) 727-5730","(815)723-3053",41.5201,-88.0856
"ROCHELLE","Head Start and Early Head Start","14206 E Flagg Rd","","Rochelle","IL","61068","9100","Ogle County",false,"(815) 562-3088","https://maps.google.com?saddr=40.633,-89.399&daddr=41.9412,-89.0683","05CH010856","000","Tri-County Opportunities Council, Inc.","405 Emmons Ave","","Rock Falls","IL","61071","1407","Whiteside County","(815) 562-3088","(815)625-7830 - 34",41.9412,-89.0683
"Carthage Center","Early Head Start","712 Center St","","Carthage","IL","62321","1118","Hancock County",false,"(217) 357-6764","https://maps.google.com?saddr=40.633,-89.399&daddr=40.4187,-91.1314","05CH010617","200","PACT FOR WEST CENTRAL ILLINOIS","2090 Highway 24"," ","Camp Point","IL","62320","2218","Adams County","(217) 357-6764","(217)773-3903",40.4187,-91.1314
"TEMPORARY Ottawa Administrative Building","Head Start","203 N Ottawa St","","Joliet","IL","60432","4006","Will County",false,"(1) 815-723","https://maps.google.com?saddr=40.633,-89.399&daddr=41.528,-88.0835","05CH011316","000","Catholic Charities of the Diocese of Joliet, Inc.","203 North Ottawa Street, 3rd Floor","","Joliet","IL","60432","4006","Will County","(1) 815-723","(815)723-3053",41.528,-88.0835
"Kinder Care Constitution","Head Start","80 S Constitution Dr","","Aurora","IL","60506","7335","Kane County",false,"(630) 906-6582","https://maps.google.com?saddr=40.633,-89.399&daddr=41.7621,-88.368","05CH011765","000","YWCA Metropolitan Chicago","2055 W Army Trail Rd","Ste 140","Addison","IL","60101","1478","DuPage County","(630) 906-6582","(630) 906-6582",41.7621,-88.368
"OREGON EXTENDED DAY","Head Start and Early Head Start","1302 Pines Rd","Ste 1","Oregon","IL","61061","9619","Ogle County",false,"(815) 732-6893","https://maps.google.com?saddr=40.633,-89.399&daddr=42.0047,-89.3458","05CH010856","000","Tri-County Opportunities Council, Inc.","405 Emmons Ave","","Rock Falls","IL","61071","1407","Whiteside County","(815) 732-6893","(815)625-7830 - 34",42.0047,-89.3458
"Jugando Se Aprende","Early Head Start","1042 Talma St","","Aurora","IL","60505","5606","Kane County",false,"(630) 978-6514","https://maps.google.com?saddr=40.633,-89.399&daddr=41.736,-88.3112","05HP000507","200","YWCA Metropolitan Chicago","2055 W Army Trail Rd","Ste 140","Addison","IL","60101","1478","DuPage County","(630) 978-6514","(630) 978-6514",41.736,-88.3112
"Boone|DeKalb|Grundy Home-Based","Early Head Start","155 N 3rd St","Ste 504","Dekalb","IL","60115","3366","DeKalb County",false,"(815) 748-0190","https://maps.google.com?saddr=40.633,-89.399&daddr=41.9308,-88.7512","05CH011731","200","Children's Home & Aid Society of Illinois","125 S Wacker Dr","Fl 14","Chicago","IL","60606","4429","Cook County","(815) 748-0190","(815) 748-0190",41.9308,-88.7512
"Aurora East","Head Start","107 Jackson St","","Aurora","IL","60505","4364","Kane County",false,"(630) 375-9800","https://maps.google.com?saddr=40.633,-89.399&daddr=41.7514,-88.3077","05CH011694","000","Two Rivers Head Start","1661 Landmark Rd"," ","Aurora","IL","60506","1146","Kane County","(630) 375-9800","(630)264-1444",41.7514,-88.3077
"MATTOON","Head Start","2000 Richmond Ave","","Mattoon","IL","61938","2846","Coles County",false,"(217) 929-9004","https://maps.google.com?saddr=40.633,-89.399&daddr=39.4852,-88.3792","05CH011449","000","Embarras River Basin Agency, Inc.","400 W Pleasant St","","Greenup","IL","62428","-1","Cumberland County","(217) 929-9004","(217)923-3113",39.4852,-88.3792
"Hometown Child Care - Lincoln","Head Start","60 S Lincoln Ave","","Aurora","IL","60505","3490","Kane County",false,"(630) 692-9300","https://maps.google.com?saddr=40.633,-89.399&daddr=41.7543,-88.3117","05CH011765","000","YWCA Metropolitan Chicago","2055 W Army Trail Rd","Ste 140","Addison","IL","60101","1478","DuPage County","(630) 692-9300","(630) 692-9300",41.7543,-88.3117
"Hometown Childcare Center Lincoln","Early Head Start","60 S Lincoln Ave","Ste 1","Aurora","IL","60505","3492","Kane County",false,"(630) 692-9300","https://maps.google.com?saddr=40.633,-89.399&daddr=41.7543,-88.3117","05HP000507","200","YWCA Metropolitan Chicago","2055 W Army Trail Rd","Ste 140","Addison","IL","60101","1478","DuPage County","(630) 692-9300","(630) 692-9300",41.7543,-88.3117
"Hometown Child Care - Town Center","Head Start","1679 Town Center St","","Aurora","IL","60504","4521","DuPage County",false,"(630) 898-4663","https://maps.google.com?saddr=40.633,-89.399&daddr=41.74,-88.278","05CH011765","000","YWCA Metropolitan Chicago","2055 W Army Trail Rd","Ste 140","Addison","IL","60101","1478","DuPage County","(630) 898-4663","(630) 898-4663",41.74,-88.278
"Hometown Childcare Center Town Center","Early Head Start","1679 Town Center St","","Aurora","IL","60504","4521","DuPage County",false,"(630) 898-4663","https://maps.google.com?saddr=40.633,-89.399&daddr=41.74,-88.278","05HP000507","200","YWCA Metropolitan Chicago","2055 W Army Trail Rd","Ste 140","Addison","IL","60101","1478","DuPage County","(630) 898-4663","(630) 898-4663",41.74,-88.278
"Illiana Migrant Head Start","Migrant and Seasonal Head Start","150 S Randolph St","","Sheldon","IL","60966","8213","Iroquois County",false,"(815) 429-3174","https://maps.google.com?saddr=40.633,-89.399&daddr=40.7695,-87.5718","90CM009834","003","Rainbow Learning Enrichment","202 North Schuyler Ave. - Suite 107","","Kankakee","IL","60901","-1","Kankakee County","(815) 429-3174","(815)932-0569",40.7695,-87.5718
"Carlinville Head Start Center","Head Start","610 N Charles St","","Carlinville","IL","62626","1339","Macoupin County",false,"(217) 854-6736","https://maps.google.com?saddr=40.633,-89.399&daddr=39.286,-89.8776","05CH012028","000","Illinois Valley Economic Development Corporation","223 S Macoupin St","","Gillespie","IL","62033","1605","Macoupin County","(217) 854-6736","(217)839-4431",39.286,-89.8776
"Aurora West","Head Start","1455 Sullivan Rd","","Aurora","IL","60506","1058","Kane County",false,"(630) 907-9525","https://maps.google.com?saddr=40.633,-89.399&daddr=41.7902,-88.352","05CH011694","000","Two Rivers Head Start","1661 Landmark Rd"," ","Aurora","IL","60506","1146","Kane County","(630) 907-9525","(630)264-1444",41.7902,-88.352
"Greene County Head Start Center","Head Start","302 Higbee St","","White Hall","IL","62092","1327","Greene County",false,"(217) 374-2390","https://maps.google.com?saddr=40.633,-89.399&daddr=39.4426,-90.3998","05CH012028","000","Illinois Valley Economic Development Corporation","223 S Macoupin St","","Gillespie","IL","62033","1605","Macoupin County","(217) 374-2390","(217)839-4431",39.4426,-90.3998
"Sycamore","Head Start","2425 Bethany Rd","Ste D","Sycamore","IL","60178","3165","DeKalb County",false,"(815) 748-3713","https://maps.google.com?saddr=40.633,-89.399&daddr=41.9669,-88.7211","05CH011694","000","Two Rivers Head Start","1661 Landmark Rd"," ","Aurora","IL","60506","1146","Kane County","(815) 748-3713","(630)264-1444",41.9669,-88.7211
"Camp Point Center","Head Start and Early Head Start","2090 Highway 24","","Camp Point","IL","62320","2218","Adams County",false,"(217) 593-6777","https://maps.google.com?saddr=40.633,-89.399&daddr=40.0369,-91.1186","05CH010617","000","PACT FOR WEST CENTRAL ILLINOIS","2090 Highway 24"," ","Camp Point","IL","62320","2218","Adams County","(217) 593-6777","(217)773-3903",40.0369,-91.1186
"Voorhees Admin Office/Head Start/Early Head Start","Head Start and Early Head Start","1001 E Voorhees St","","Danville","IL","61832","2131","Vermilion County",false,"(217) 820-0320","https://maps.google.com?saddr=40.633,-89.399&daddr=40.1467,-87.6105","90CH011821","000","CDI HS/ Vermilion, Iroquois and Ford County, IL","10065 E Harvard Ave","Ste 700","Denver","CO","80231","5915","Denver County","(217) 820-0320","(217) 820-0320",40.1467,-87.6105
"Family & Community Development (FCD) Head Start/Early Head Start","Head Start and Early Head Start","501 N Kimball St","","Danville","IL","61832","4818","Vermilion County",false,"(217) 820-8376","https://maps.google.com?saddr=40.633,-89.399&daddr=40.1325,-87.6151","90CH011821","000","CDI HS/ Vermilion, Iroquois and Ford County, IL","10065 E Harvard Ave","Ste 700","Denver","CO","80231","5915","Denver County","(217) 820-8376","(217) 820-8376",40.1325,-87.6151
"NEOGA","Head Start","1364 County Road 100 E","","Neoga","IL","62447","2105","Cumberland County",false,"(217) 895-2361","https://maps.google.com?saddr=40.633,-89.399&daddr=39.3686,-88.4533","05CH011449","000","Embarras River Basin Agency, Inc.","400 W Pleasant St","","Greenup","IL","62428","-1","Cumberland County","(217) 895-2361","(217)923-3113",39.3686,-88.4533
"CHARLESTON II","Head Start","707 Windsor Rd","Ste A","Charleston","IL","61920","7474","Coles County",false,"(217) 500-3121","https://maps.google.com?saddr=40.633,-89.399&daddr=39.5017,-88.1931","05CH011449","000","Embarras River Basin Agency, Inc.","400 W Pleasant St","","Greenup","IL","62428","-1","Cumberland County","(217) 500-3121","(217)923-3113",39.5017,-88.1931
"CHARLESTON","Head Start","697 Windsor Rd","","Charleston","IL","61920","7486","Coles County",false,"(217) 500-3124","https://maps.google.com?saddr=40.633,-89.399&daddr=39.5015,-88.1932","05CH011449","000","Embarras River Basin Agency, Inc.","400 W Pleasant St","","Greenup","IL","62428","-1","Cumberland County","(217) 500-3124","(217)923-3113",39.5015,-88.1932
"Good Shepherd Center","Head Start and Early Head Start","151 E Briarcliff Rd","","Bolingbrook","IL","60440","3070","Will County",false,"(630) 783-2735","https://maps.google.com?saddr=40.633,-89.399&daddr=41.6976,-88.0651","05CH011316","200","Catholic Charities of the Diocese of Joliet, Inc.","203 North Ottawa Street, 3rd Floor","","Joliet","IL","60432","4006","Will County","(630) 783-2735","(815)723-3053",41.6976,-88.0651
"Trinity Head Start","Head Start","311 E Moses Ave","","Westville","IL","61883","1301","Vermilion County",false,"(217) 474-5208","https://maps.google.com?saddr=40.633,-89.399&daddr=40.0483,-87.636","90CH011821","000","CDI HS/ Vermilion, Iroquois and Ford County, IL","10065 E Harvard Ave","Ste 700","Denver","CO","80231","5915","Denver County","(217) 474-5208","(217) 474-5208",40.0483,-87.636
"CEFS Head Start 0-5 Program-Litchfield","Head Start and Early Head Start","202 W Water St","Ste B","Litchfield","IL","62056","2158","Montgomery County",false,"(217) 994-3879","https://maps.google.com?saddr=40.633,-89.399&daddr=39.1677,-89.6569","05CH011248","000","C.E.F.S. ECONOMIC OPPORTUNITY CORPORATION","1805 S Banker St","","Effingham","IL","62401","2765","Effingham County","(217) 994-3879","(217)342-2193 - 139",39.1677,-89.6569
"Johnson School","Head Start","2S700 Continental Dr","","Warrenville","IL","60555","1456","DuPage County",false,"(630) 393-1787","https://maps.google.com?saddr=40.633,-89.399&daddr=41.8287,-88.2078","05CH010475","000","Metropolitan Family Services DuPage Head Start","222 E Willow Ave"," ","Wheaton","IL","60187","5426","DuPage County","(630) 393-1787","(630)784-4801",41.8287,-88.2078
"Pike Home Based: St. Paul Lutheran Church","Early Head Start","1234 W Washington St","","Pittsfield","IL","62363","1655","Pike County",false,"(217) 773-3903","https://maps.google.com?saddr=40.633,-89.399&daddr=39.6058,-90.8253","05CH010617","200","PACT FOR WEST CENTRAL ILLINOIS","2090 Highway 24"," ","Camp Point","IL","62320","2218","Adams County","(217) 773-3903","(217)773-3903",39.6058,-90.8253
"Pittsfield Center","Head Start and Early Head Start","1310 W Washington St","","Pittsfield","IL","62363","9535","Pike County",false,"(217) 285-2234","https://maps.google.com?saddr=40.633,-89.399&daddr=39.6059,-90.8367","05CH010617","000","PACT FOR WEST CENTRAL ILLINOIS","2090 Highway 24"," ","Camp Point","IL","62320","2218","Adams County","(217) 285-2234","(217)773-3903",39.6059,-90.8367
"Family Development Center","Early Head Start","1 University Pkwy","","University Park","IL","60484","3165","Will County",false,"(708) 235-7300","https://maps.google.com?saddr=40.633,-89.399&daddr=41.4465,-87.7197","05CH011351","200","Governors State University","1 University Pkwy","","University Park","IL","60484","3165","Will County","(708) 235-7300","(708)235-7314",41.4465,-87.7197
"Educare of West DuPage","Head Start","851 Pearl Rd","","West Chicago","IL","60185","3716","DuPage County",false,"(630) 957-5500","https://maps.google.com?saddr=40.633,-89.399&daddr=41.8703,-88.2122","05CH010474","000","Educare of West DuPage","851 Pearl Rd","","West Chicago","IL","60185","3716","DuPage County","(630) 957-5500","(630)957-5500",41.8703,-88.2122
"Educare West DuPage","Early Head Start","851 Pearl Rd","","West Chicago","IL","60185","3716","DuPage County",false,"(630) 957-5500","https://maps.google.com?saddr=40.633,-89.399&daddr=41.8706,-88.2117","05HP000147","200","Educare of West DuPage","851 Pearl Rd","","West Chicago","IL","60185","3716","DuPage County","(630) 957-5500","(630)957-5500",41.8706,-88.2117
"First Step Child Care Center, Inc.","Head Start and Early Head Start","22025 Governors Hwy","","Richton Park","IL","60471","1247","Cook County",false,"(708) 747-3000","https://maps.google.com?saddr=40.633,-89.399&daddr=41.4884,-87.7122","05CH011953","000","Start Early","33 W Monroe St","Ste 1200","Chicago","IL","60603","5316","Cook County","(708) 747-3000","(312)922-3863",41.4884,-87.7122
"Educare West DuPage at Glen Arbor","Early Head Start","204 Church St","","West Chicago","IL","60185","2706","DuPage County",false,"(630) 601-2320","https://maps.google.com?saddr=40.633,-89.399&daddr=41.8819,-88.2074","05HP000147","200","Educare of West DuPage","851 Pearl Rd","","West Chicago","IL","60185","3716","DuPage County","(630) 601-2320","(630)957-5500",41.8819,-88.2074
"Anne M. Jeans Elementary School","Head Start","16W 632 91st Street","","Willowbrook","IL","60527","-1","DuPage County",false,"(630) 325-4836","https://maps.google.com?saddr=40.633,-89.399&daddr=41.7229,-87.9483","05CH010475","000","Metropolitan Family Services DuPage Head Start","222 E Willow Ave"," ","Wheaton","IL","60187","5426","DuPage County","(630) 325-4836","(630)784-4801",41.7229,-87.9483
"Savanna West Carroll Head Start","Head Start","2215 Wacker Rd","","Savanna","IL","61074","2823","Carroll County",false,"(815) 273-0447","https://maps.google.com?saddr=40.633,-89.399&daddr=42.0807,-90.122","05CH010856","000","Tri-County Opportunities Council, Inc.","405 Emmons Ave","","Rock Falls","IL","61071","1407","Whiteside County","(815) 273-0447","(815)625-7830 - 34",42.0807,-90.122
"Jefferson Early Childhood Center","Head Start","130 N Hazelton Ave","","Wheaton","IL","60187","4550","DuPage County",false,"(630) 682-2474","https://maps.google.com?saddr=40.633,-89.399&daddr=41.8648,-88.1365","05CH010475","000","Metropolitan Family Services DuPage Head Start","222 E Willow Ave"," ","Wheaton","IL","60187","5426","DuPage County","(630) 682-2474","(630)784-4801",41.8648,-88.1365
"CHRISMAN","Head Start","111 N Pennsylvania St","","Chrisman","IL","61924","1238","Edgar County",false,"(217) 269-2651","https://maps.google.com?saddr=40.633,-89.399&daddr=39.8036,-87.6736","05CH011449","000","Embarras River Basin Agency, Inc.","400 W Pleasant St","","Greenup","IL","62428","-1","Cumberland County","(217) 269-2651","(217)923-3113",39.8036,-87.6736
"Early Head Start Home-Based","Early Head Start","222 E Willow Ave","","Wheaton","IL","60187","5426","DuPage County",false,"(630) 784-4801","https://maps.google.com?saddr=40.633,-89.399&daddr=41.863,-88.1039","05CH010475","200","Metropolitan Family Services DuPage Head Start","222 E Willow Ave"," ","Wheaton","IL","60187","5426","DuPage County","(630) 784-4801","(630)784-4801",41.863,-88.1039
"Mother Goose","Head Start and Early Head Start","4112 183rd St","","Country Club Hills","IL","60478","5309","Cook County",false,"(708) 647-9140","https://maps.google.com?saddr=40.633,-89.399&daddr=41.5582,-87.7154","05CH011615","200","Easter Seals Metropolitan Chicago, Inc.","1939 W 13th St Ste 300","","Chicago","IL","60608","1237","Cook County","(708) 647-9140","(708)434-2522",41.5582,-87.7154
"South Macoupin County Head Start Center","Head Start","314 E Central Ave","","Benld","IL","62009","1202","Macoupin County",false,"(217) 835-2239","https://maps.google.com?saddr=40.633,-89.399&daddr=39.093,-89.8033","05CH012028","000","Illinois Valley Economic Development Corporation","223 S Macoupin St","","Gillespie","IL","62033","1605","Macoupin County","(217) 835-2239","(217)839-4431",39.093,-89.8033
"Longfellow Elemntary School","Head Start","311 E Seminary Ave","","Wheaton","IL","60187","5354","DuPage County",false,"(630) 682-2080","https://maps.google.com?saddr=40.633,-89.399&daddr=41.8676,-88.1028","05CH010475","000","Metropolitan Family Services DuPage Head Start","222 E Willow Ave"," ","Wheaton","IL","60187","5426","DuPage County","(630) 682-2080","(630)784-4801",41.8676,-88.1028
"Westfield Elementary","Head Start","2S125 Mayfield Ln","","Glen Ellyn","IL","60137","7017","DuPage County",false,"(630) 784-4800","https://maps.google.com?saddr=40.633,-89.399&daddr=41.8428,-88.0445","05CH010475","000","Metropolitan Family Services DuPage Head Start","222 E Willow Ave"," ","Wheaton","IL","60187","5426","DuPage County","(630) 784-4800","(630)784-4801",41.8428,-88.0445
"St. Andrew's  Head Start","Head Start","250 N Gary Ave","","Carol Stream","IL","60188","1834","DuPage County",false,"(630) 456-4398","https://maps.google.com?saddr=40.633,-89.399&daddr=41.9086,-88.122","05CH010475","000","Metropolitan Family Services DuPage Head Start","222 E Willow Ave"," ","Wheaton","IL","60187","5426","DuPage County","(630) 456-4398","(630)784-4801",41.9086,-88.122
"IAFC-Chicago Heights Early Learning Center","Head Start and Early Head Start","202 S Halsted St","","Chicago Heights","IL","60411","8200","Cook County",false,"(773) 769-8865","https://maps.google.com?saddr=40.633,-89.399&daddr=41.5256,-87.6386","05CH011751","000","Illinois Action for Children","4753 N Broadway St Ste 1200","","Chicago","IL","60640","4982","Cook County","(773) 769-8865","(708)365-1500",41.5256,-87.6386
"Outreach","Head Start","345 S President St","","Carol Stream","IL","60188","3226","DuPage County",false,"(630) 260-7600","https://maps.google.com?saddr=40.633,-89.399&daddr=41.8961,-88.092","05CH010475","000","Metropolitan Family Services DuPage Head Start","222 E Willow Ave"," ","Wheaton","IL","60187","5426","DuPage County","(630) 260-7600","(630)784-4801",41.8961,-88.092
"Justice Child Development Center","Early Head Start","8527 S 88th Ave","# 31","Justice","IL","60458","1723","Cook County",false,"(708) 563-1234","https://maps.google.com?saddr=40.633,-89.399&daddr=41.7358,-87.838","05HP000432","200","Proviso Leyden Council for Community Action, Inc.","411 Madison St"," ","Maywood","IL","60153","2136","Cook County","(708) 563-1234","(708)865-0608 - 300",41.7358,-87.838
"Easterseals Early Learning Center - Hickory HIlls","Head Start and Early Head Start","8020 W 87th St","","Hickory Hills","IL","60457","1189","Cook County",false,"","https://maps.google.com?saddr=40.633,-89.399&daddr=41.7336,-87.8196","05CH011615","000","Easter Seals Metropolitan Chicago, Inc.","1939 W 13th St Ste 300","","Chicago","IL","60608","1237","Cook County","","(708)434-2522",41.7336,-87.8196
"IAFC - Ford Heights Early Learning Center","Head Start and Early Head Start","1055 Berkeley Ave","","Ford Heights","IL","60411","2238","Cook County",false,"(773) 769-8865","https://maps.google.com?saddr=40.633,-89.399&daddr=41.512,-87.5909","05CH011751","000","Illinois Action for Children","4753 N Broadway St Ste 1200","","Chicago","IL","60640","4982","Cook County","(773) 769-8865","(708)365-1500",41.512,-87.5909
"YMCA Elgin","Head Start","50 N McLean Blvd","","Elgin","IL","60123","5139","Kane County",false,"(630) 503-6571","https://maps.google.com?saddr=40.633,-89.399&daddr=42.0361,-88.3126","05CH011765","000","YWCA Metropolitan Chicago","2055 W Army Trail Rd","Ste 140","Addison","IL","60101","1478","DuPage County","(630) 503-6571","(630) 503-6571",42.0361,-88.3126
"Shelby Scholars","Head Start and Early Head Start","3587 W 137th St","","Robbins","IL","60472","1607","Cook County",false,"(708) 371-8431","https://maps.google.com?saddr=40.633,-89.399&daddr=41.6437,-87.7086","05CH011615","200","Easter Seals Metropolitan Chicago, Inc.","1939 W 13th St Ste 300","","Chicago","IL","60608","1237","Cook County","(708) 371-8431","(708)434-2522",41.6437,-87.7086
"Elgin West","Head Start","69 N Aldine Ave","","Elgin","IL","60123","5265","Kane County",false,"(847) 888-0271","https://maps.google.com?saddr=40.633,-89.399&daddr=42.0372,-88.3065","05CH011694","000","Two Rivers Head Start","1661 Landmark Rd"," ","Aurora","IL","60506","1146","Kane County","(847) 888-0271","(630)264-1444",42.0372,-88.3065
"One Hope United Elgin Child and Family Resource Cener","Head Start","210 National St","","Elgin","IL","60120","6725","Kane County",false,"(847) 697-7100","https://maps.google.com?saddr=40.633,-89.399&daddr=42.0313,-88.2757","05CH011765","000","YWCA Metropolitan Chicago","2055 W Army Trail Rd","Ste 140","Addison","IL","60101","1478","DuPage County","(847) 697-7100","(847) 697-7100",42.0313,-88.2757
"Beyer Elementary School","Head Start","333 15th Ave","","Rockford","IL","61104","5101","Winnebago County",false,"(815) 966-3390","https://maps.google.com?saddr=40.633,-89.399&daddr=42.25,-89.0935","05CH010616","000","City of Rockford, Human Services Dept.","425 E State St"," ","Rockford","IL","61104","1014","Winnebago County","(815) 966-3390","(779)348-7169",42.25,-89.0935
"Safari Life Child Care & Learning Center","Head Start and Early Head Start","1935 Glenwood Dyer Rd","","Lynwood","IL","60411","8651","Cook County",false,"(708) 833-7040","https://maps.google.com?saddr=40.633,-89.399&daddr=41.5278,-87.5698","05CH011615","200","Easter Seals Metropolitan Chicago, Inc.","1939 W 13th St Ste 300","","Chicago","IL","60608","1237","Cook County","(708) 833-7040","(708)434-2522",41.5278,-87.5698
"Kiddy Kulture Child Care & Learning Center","Head Start and Early Head Start","396 E 159th St","","Harvey","IL","60426","5240","Cook County",false,"(708) 331-4300","https://maps.google.com?saddr=40.633,-89.399&daddr=41.6006,-87.633","05CH011615","200","Easter Seals Metropolitan Chicago, Inc.","1939 W 13th St Ste 300","","Chicago","IL","60608","1237","Cook County","(708) 331-4300","(708)434-2522",41.6006,-87.633
"CEFS Head Start 0-5 Program-Effingham (EHS & HS)","Head Start and Early Head Start","100 E Market Ave","","Effingham","IL","62401","3472","Effingham County",false,"(217) 994-4300","https://maps.google.com?saddr=40.633,-89.399&daddr=39.1234,-88.5417","05CH011248","200","C.E.F.S. ECONOMIC OPPORTUNITY CORPORATION","1805 S Banker St","","Effingham","IL","62401","2765","Effingham County","(217) 994-4300","(217)342-2193 - 139",39.1234,-88.5417
"CEFS Head Start 0-5 Program-Altamont","Head Start","6 N 4th St","","Altamont","IL","62411","1418","Effingham County",false,"(217) 500-7501","https://maps.google.com?saddr=40.633,-89.399&daddr=39.0599,-88.7511","05CH011248","000","C.E.F.S. ECONOMIC OPPORTUNITY CORPORATION","1805 S Banker St","","Effingham","IL","62401","2765","Effingham County","(217) 500-7501","(217)342-2193 - 139",39.0599,-88.7511
"Early Head Start Administration Office","Early Head Start","425 E State St","","Rockford","IL","61104","1014","Winnebago County",false,"(779) 348-7169","https://maps.google.com?saddr=40.633,-89.399&daddr=42.2677,-89.0882","05CH010616","200","City of Rockford, Human Services Dept.","425 E State St"," ","Rockford","IL","61104","1014","Winnebago County","(779) 348-7169","(779)348-7169",42.2677,-89.0882
"PARIS 1 & 2","Head Start","507 Connelly St","","Paris","IL","61944","1544","Edgar County",false,"(217) 500-3110","https://maps.google.com?saddr=40.633,-89.399&daddr=39.6177,-87.6939","05CH011449","000","Embarras River Basin Agency, Inc.","400 W Pleasant St","","Greenup","IL","62428","-1","Cumberland County","(217) 500-3110","(217)923-3113",39.6177,-87.6939
"Trinity Day Care","Early Head Start","215 N 1st St","","Rockford","IL","61107","3958","Winnebago County",false,"(815) 986-5437","https://maps.google.com?saddr=40.633,-89.399&daddr=42.2692,-89.0868","05CH010616","200","City of Rockford, Human Services Dept.","425 E State St"," ","Rockford","IL","61104","1014","Winnebago County","(815) 986-5437","(779)348-7169",42.2692,-89.0868
"IAFC-Harvey - South Holland Early Learning Center","Head Start and Early Head Start","16515 S Park Ave","","South Holland","IL","60473","2257","Cook County",false,"(773) 769-8865","https://maps.google.com?saddr=40.633,-89.399&daddr=41.5951,-87.6072","05CH011751","000","Illinois Action for Children","4753 N Broadway St Ste 1200","","Chicago","IL","60640","4982","Cook County","(773) 769-8865","(708)365-1500",41.5951,-87.6072
"PACE Center","Early Head Start","902 Acorn St","","Rockford","IL","61101","6520","Winnebago County",false,"(779) 348-7169","https://maps.google.com?saddr=40.633,-89.399&daddr=42.279,-89.1002","05CH010616","200","City of Rockford, Human Services Dept.","425 E State St"," ","Rockford","IL","61104","1014","Winnebago County","(779) 348-7169","(779)348-7169",42.279,-89.1002
"Addison Children's Center","Early Head Start","121 E Fullerton Ave","","Addison","IL","60101","4603","DuPage County",false,"(630) 784-4950","https://maps.google.com?saddr=40.633,-89.399&daddr=41.9196,-87.9862","05CH010475","200","Metropolitan Family Services DuPage Head Start","222 E Willow Ave"," ","Wheaton","IL","60187","5426","DuPage County","(630) 784-4950","(630)784-4801",41.9196,-87.9862
"King Community Campus","Head Start","511 S Liberty Ave","","Freeport","IL","61032","5600","Stephenson County",false,"(815) 235-3740","https://maps.google.com?saddr=40.633,-89.399&daddr=42.2937,-89.6135","05CH010568","000","Northwestern Illinois Community Action Agency HS","511 S Liberty Ave","Rm 146","Freeport","IL","61032","5600","Stephenson County","(815) 235-3740","(815)235-3740",42.2937,-89.6135
"Pleasant Street","Head Start","537 W Pleasant St","","Freeport","IL","61032","5061","Stephenson County",false,"(815) 235-3740","https://maps.google.com?saddr=40.633,-89.399&daddr=42.2935,-89.6255","05CH010568","000","Northwestern Illinois Community Action Agency HS","511 S Liberty Ave","Rm 146","Freeport","IL","61032","5600","Stephenson County","(815) 235-3740","(815)235-3740",42.2935,-89.6255
"Little Prince Daycare","Early Head Start","233 N Mill Rd","","Addison","IL","60101","2409","DuPage County",false,"(630) 903-6609","https://maps.google.com?saddr=40.633,-89.399&daddr=41.9319,-88.0028","05HP000507","200","YWCA Metropolitan Chicago","2055 W Army Trail Rd","Ste 140","Addison","IL","60101","1478","DuPage County","(630) 903-6609","(630) 903-6609",41.9319,-88.0028
"Army Trail DuPage Head Start","Head Start","346 W Army Trail Blvd","","Addison","IL","60101","3402","DuPage County",false,"(630) 784-4849","https://maps.google.com?saddr=40.633,-89.399&daddr=41.9324,-87.9975","05CH010475","000","Metropolitan Family Services DuPage Head Start","222 E Willow Ave"," ","Wheaton","IL","60187","5426","DuPage County","(630) 784-4849","(630)784-4801",41.9324,-87.9975
"CEFS Head Start 0-5 Program-Vandalia","Head Start and Early Head Start","1902 Progress West Dr","","Vandalia","IL","62471","3244","Fayette County",false,"(217) 994-3701","https://maps.google.com?saddr=40.633,-89.399&daddr=38.9735,-89.1172","05CH011248","000","C.E.F.S. ECONOMIC OPPORTUNITY CORPORATION","1805 S Banker St","","Effingham","IL","62401","2765","Effingham County","(217) 994-3701","(217)342-2193 - 139",38.9735,-89.1172
